"WorkspaceId","UserName","Region","Status"
"ws-8wttg6jkj","aalvarez1","us-east-1","Enabled"
"ws-crj8bj1hl","AMeteyer","us-east-1","Enabled"
"ws-hq0xln8td","krowe3","us-east-1","Enabled"
"ws-8b8y6cfbr","edimarco","us-east-1","Enabled"
"ws-cpw9lbpjh","kmoore27","us-east-1","Enabled"
"ws-1ddtq62x0","jstewartga","us-east-1","Enabled"
"ws-7m73ck7vg","zjohnson5","us-east-1","Enabled"
"ws-9c9plyb81","nminhas","us-east-1","Enabled"
"ws-c353fwk5w","vhodges","us-east-1","Enabled"
"ws-058fkdnbp","vprice","us-east-1","Enabled"
"ws-3hsbdm6h5","brenn","us-east-1","Enabled"
"ws-2fn84lgh8","swoodall","us-east-1","Enabled"
"ws-5jy9y4w10","ncurry","us-east-1","Enabled"
"ws-69p4r9cz0","jbermudez3","us-east-1","Enabled"
"ws-fjyy9m7wr","kmestry","us-east-1","Disabled"
"ws-6nv5hb3vn","mheavlow","us-east-1","Enabled"
"ws-1mc7hdxyq","asolis2","us-east-1","Enabled"
"ws-d822t3fx9","ballen9","us-east-1","Enabled"
"ws-4xxtfl80j","dkupper","us-east-1","Enabled"
"ws-1911s1g7c","agardewine","us-east-1","Enabled"
"ws-97s5tmh41","snelson3","us-east-1","Enabled"
"ws-jfvq55bx2","bbrettnacher","us-east-1","Enabled"
"ws-gdy0xx1pg","evales","us-east-1","Enabled"
"ws-cpfrksrdc","ATejada","us-east-1","Enabled"
"ws-vfpcr3w1k","abalbuena","us-east-1","Enabled"
"ws-d6lm2y6vp","sfleischma","us-east-1","Enabled"
"ws-fbyqc9txd","iribot","us-east-1","Enabled"
"ws-2y54ww03s","jroberson4","us-east-1","Enabled"
"ws-wsv01bh2s","ssinha","us-east-1","Enabled"
"ws-0jxbbnyll","kschafrane","us-east-1","Enabled"
"ws-8k8k4n71r","bjones54","us-east-1","Enabled"
"ws-dg49wn4cz","jlopez33","us-east-1","Enabled"
"ws-9dzvfpdzp","lmick","us-east-1","Enabled"
"ws-4d7dy921b","dsthillair","us-east-1","Enabled"
"ws-126xtc0p5","lsullender","us-east-1","Enabled"
"ws-8zbvxwdtn","jkearney","us-east-1","Enabled"
"ws-3bvrwv8yp","spierce6","us-east-1","Enabled"
"ws-2qmvjxdrt","ksilva2","us-east-1","Enabled"
"ws-wvgnkyb2b","kkimbler","us-east-1","Enabled"
"ws-j1z0rbkwh","khamilton4","us-east-1","Enabled"
"ws-8lcmys27m","gmartinez1","us-east-1","Enabled"
"ws-28939jhtw","cgalvan1","us-east-1","Enabled"
"ws-b90h8gh6t","acushion","us-east-1","Enabled"
"ws-x6nq34g0f","ewright15","us-east-1","Enabled"
"ws-cvc7clmhm","jthompson7","us-east-1","Enabled"
"ws-h25wbvfd2","jpilkingto","us-east-1","Enabled"
"ws-09wm4rn3k","darmstron5","us-east-1","Enabled"
"ws-bz7966dsd","braines","us-east-1","Enabled"
"ws-d3rs2r7q8","econtrera3","us-east-1","Enabled"
"ws-280lp53rn","scostantini","us-east-1","Enabled"
"ws-34wnl0f4w","sdesantis","us-east-1","Enabled"
"ws-17mvxs9dy","Dantonino","us-east-1","Enabled"
"ws-2bmnjy733","amallahi","us-east-1","Enabled"
"ws-b0h5vvppq","lnguyen4","us-east-1","Enabled"
"ws-0ztntb0tj","lschiffman","us-east-1","Enabled"
"ws-0twbqbqst","rwojtak","us-east-1","Enabled"
"ws-9hc3j2mlr","awillia102","us-east-1","Enabled"
"ws-7q9vpmgdk","swelsh4","us-east-1","Enabled"
"ws-3gkbzxqw0","ostetson","us-east-1","Enabled"
"ws-wwsyd45fv","ereed2","us-east-1","Enabled"
"ws-czmhgyw6x","smyers13","us-east-1","Enabled"
"ws-4zz7h25q5","vstevens2","us-east-1","Enabled"
"ws-7tdfz1vkb","epacheco5","us-east-1","Enabled"
"ws-5z6k17y9g","glopez9","us-east-1","Enabled"
